"ID","Year","Tax.Type","NAICS","Total.Taxable","Units","City"
105,"2022 Quarter 3","Sales","All NAICS","$404,514","359","Washtucna"
105,"2022 Quarter 2","Sales","All NAICS","$562,024","394","Washtucna"
105,"2022 Quarter 1","Sales","All NAICS","$362,549","390","Washtucna"
105,"2021 Quarter 4","Sales","All NAICS","$595,399","504","Washtucna"
105,"2021 Quarter 3","Sales","All NAICS","$583,601","393","Washtucna"
105,"2021 Quarter 2","Sales","All NAICS","$931,013","438","Washtucna"
105,"2021 Quarter 1","Sales","All NAICS","$748,153","418","Washtucna"
105,"2021 Annual","Sales","All NAICS","$2,841,381","920","Washtucna"
105,"2020 Quarter 4","Sales","All NAICS","$1,652,373","438","Washtucna"
105,"2020 Quarter 3","Sales","All NAICS","$1,332,043","396","Washtucna"
105,"2020 Quarter 2","Sales","All NAICS","$561,675","361","Washtucna"
105,"2020 Quarter 1","Sales","All NAICS","$436,483","335","Washtucna"
105,"2020 Annual","Sales","All NAICS","$3,980,261","795","Washtucna"
105,"2019 Quarter 4","Sales","All NAICS","$394,407","348","Washtucna"
105,"2019 Quarter 3","Sales","All NAICS","$426,972","306","Washtucna"
105,"2019 Quarter 2","Sales","All NAICS","$337,098","308","Washtucna"
105,"2019 Quarter 1","Sales","All NAICS","$295,425","260","Washtucna"
105,"2019 Annual","Sales","All NAICS","$1,448,265","642","Washtucna"
105,"2018 Quarter 4","Sales","All NAICS","$428,990","285","Washtucna"
105,"2018 Quarter 3","Sales","All NAICS","$340,658","258","Washtucna"
105,"2018 Quarter 2","Sales","All NAICS","$306,869","222","Washtucna"
105,"2018 Quarter 1","Sales","All NAICS","$283,093","238","Washtucna"
105,"2018 Annual","Sales","All NAICS","$1,359,328","533","Washtucna"
105,"2017 Quarter 4","Sales","All NAICS","$370,628","282","Washtucna"
105,"2017 Quarter 3","Sales","All NAICS","$293,134","242","Washtucna"
105,"2017 Quarter 2","Sales","All NAICS","$388,457","228","Washtucna"
105,"2017 Quarter 1","Sales","All NAICS","$232,145","212","Washtucna"
105,"2017 Annual","Sales","All NAICS","$1,284,364","496","Washtucna"
105,"2016 Quarter 4","Sales","All NAICS","$377,093","238","Washtucna"
105,"2016 Quarter 3","Sales","All NAICS","$405,060","228","Washtucna"
105,"2016 Quarter 2","Sales","All NAICS","$297,880","209","Washtucna"
105,"2016 Quarter 1","Sales","All NAICS","$240,984","204","Washtucna"
105,"2016 Annual","Sales","All NAICS","$1,321,017","442","Washtucna"
105,"2015 Quarter 4","Sales","All NAICS","$267,018","239","Washtucna"
105,"2015 Quarter 3","Sales","All NAICS","$200,734","192","Washtucna"
105,"2015 Quarter 2","Sales","All NAICS","$334,833","202","Washtucna"
105,"2015 Quarter 1","Sales","All NAICS","$239,974","202","Washtucna"
105,"2015 Annual","Sales","All NAICS","$1,042,559","429","Washtucna"
200,"2022 Quarter 3","Sales","All NAICS","$26,642,823","3,679","Unincorporated Asotin County"
200,"2022 Quarter 2","Sales","All NAICS","$27,622,676","3,603","Unincorporated Asotin County"
200,"2022 Quarter 1","Sales","All NAICS","$20,740,116","3,508","Unincorporated Asotin County"
200,"2021 Quarter 4","Sales","All NAICS","$22,721,689","3,758","Unincorporated Asotin County"
200,"2021 Quarter 3","Sales","All NAICS","$20,229,921","3,361","Unincorporated Asotin County"
200,"2021 Quarter 2","Sales","All NAICS","$23,132,683","3,379","Unincorporated Asotin County"
200,"2021 Quarter 1","Sales","All NAICS","$20,598,728","3,222","Unincorporated Asotin County"
200,"2021 Annual","Sales","All NAICS","$86,634,153","5,934","Unincorporated Asotin County"
200,"2020 Quarter 4","Sales","All NAICS","$22,410,294","3,350","Unincorporated Asotin County"
200,"2020 Quarter 3","Sales","All NAICS","$20,916,976","2,916","Unincorporated Asotin County"
200,"2020 Quarter 2","Sales","All NAICS","$18,601,452","2,855","Unincorporated Asotin County"
200,"2020 Quarter 1","Sales","All NAICS","$16,939,125","2,550","Unincorporated Asotin County"
